iter	Passed	Remaining
722	4722	1809
723	4728	1802
724	4735	1796
725	4740	1789
726	4747	1782
727	4754	1776
728	4761	1770
729	4768	1763
730	4775	1757
731	4782	1750
732	4789	1744
733	4794	1737
734	4802	1731
735	4807	1724
736	4814	1718
737	4821	1711
738	4826	1704
739	4833	1698
740	4839	1691
741	4845	1684
742	4852	1678
743	4858	1671
744	4865	1665
745	4871	1658
746	4877	1651
747	4882	1645
748	4888	1638
749	4894	1631
750	4901	1625
751	4906	1618
752	4912	1611
753	4918	1604
754	4925	1598
755	4932	1591
756	4939	1585
757	4945	1579
758	4951	1572
759	4958	1565
760	4963	1558
761	4968	1551
762	4977	1546
763	4984	1539
764	4991	1533
765	4996	1526
766	5003	1519
767	5009	1513
768	5015	1506
769	5023	1500
770	5030	1494
771	5037	1487
772	5044	1481
773	5050	1474
774	5057	1468
775	5064	1462
776	5072	1455
777	5080	1449
778	5086	1443
779	5093	1436
780	5099	1429
781	5105	1423
782	5111	1416
783	5118	1410
784	5126	1404
785	5132	1397
786	5139	1391
787	5146	1384
788	5154	1378
789	5161	1371
790	5167	1365
791	5174	1359
792	5180	1352
793	5187	1345
794	5192	1339
795	5200	1332
796	5206	1326
797	5212	1319
798	5219	1312
799	5226	1306
800	5233	1300
801	5240	1293
802	5246	1287
803	5254	1280
804	5261	1274
805	5268	1268
806	5275	1261
807	5284	1255
808	5291	1249
809	5298	1242
810	5305	1236
811	5311	1229
812	5318	1223
813	5325	1216
814	5334	1210
815	5342	1204
816	5350	1198
817	5358	1192
818	5365	1185
819	5371	1179
820	5378	1172
821	5384	1165
822	5390	1159
823	5398	1152
824	5403	1146
825	5410	1139
826	5418	1133
827	5424	1126
828	5431	1120
829	5437	1113
830	5444	1107
831	5451	1100
832	5457	1094
833	5464	1087
834	5470	1080
835	5479	1074
836	5487	1068
837	5495	1062
838	5502	1055
839	5510	1049
840	5518	1043
841	5525	1036
842	5533	1030
843	5540	1024
844	5548	1017
845	5556	1011
846	5563	1004
847	5582	1000
848	5591	994
849	5598	987
850	5605	981
851	5612	974
852	5618	968
853	5625	961
854	5631	955
855	5638	948
856	5645	942
857	5653	935
858	5659	929
859	5665	922
860	5672	915
861	5679	909
862	5685	902
863	5692	895
864	5698	889
865	5706	882
866	5712	876
867	5718	869
868	5725	863
869	5733	856
870	5740	850
871	5746	843
872	5753	836
873	5760	830
874	5766	823
875	5772	817
876	5778	810
877	5786	803
878	5792	797
879	5799	790
880	5805	784
881	5812	777
882	5819	771
883	5825	764
884	5832	757
885	5838	751
886	5844	744
887	5851	738
888	5857	731
889	5863	724
890	5870	718
891	5876	711
892	5883	705
893	5891	698
894	5898	691
895	5905	685
896	5912	678
897	5920	672
898	5929	666
899	5936	659
900	5942	652
901	5950	646
902	5957	639
903	5965	633
904	5972	626
905	5980	620
906	5988	614
907	5997	607
908	6004	601
909	6011	594
910	6018	587
911	6026	581
912	6032	574
913	6039	568
914	6047	561
915	6052	555
916	6060	548
917	6066	541
918	6073	535
919	6080	528
920	6087	522
921	6094	515
922	6100	508
923	6106	502
924	6112	495
925	6117	488
926	6124	482
927	6130	475
928	6137	469
929	6143	462
930	6149	455
931	6156	449
932	6164	442
933	6172	436
934	6179	429
935	6188	423
936	6194	416
937	6200	409
938	6208	403
939	6214	396
940	6222	390
941	6229	383
942	6235	376
943	6242	370
944	6249	363
945	6258	357
946	6265	350
947	6272	344
948	6279	337
949	6286	330
950	6293	324
951	6301	317
952	6309	311
953	6316	304
954	6324	298
955	6332	291
956	6339	284
957	6346	278
958	6352	271
959	6359	264
960	6366	258
961	6372	251
962	6379	245
963	6385	238
964	6392	231
965	6399	225
966	6406	218
967	6413	212
968	6419	205
969	6426	198
970	6433	192
971	6439	185
972	6446	178
973	6452	172
974	6459	165
975	6466	159
976	6472	152
977	6481	145
978	6488	139
979	6498	132
980	6504	125
981	6513	119
982	6521	112
983	6531	106
984	6540	99
985	6549	92
986	6558	86
987	6564	79
988	6573	73
989	6582	66
990	6591	59
991	6598	53
992	6605	46
993	6614	39
994	6622	33
995	6630	26
996	6637	19
997	6646	13
998	6654	6
999	6661	0
